City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Bambanglipuro,ID,76.42,light rain,-7.95,110.28,Puri Brata
245,Jalu,LY,80.85,clear sky,29.03,21.55,صاحبة الفخامة
246,Caucaia,BR,82.35,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
248,Farafangana,MG,77.22,few clouds,-22.82,47.83,Austral Hotel
250,Moyale,KE,81.82,overcast clouds,3.52,39.06,Latahzan guest house
251,Cairns,AU,78.75,clear sky,-16.92,145.77,Mantra Trilogy Cairns
252,Saint-Joseph,RE,76.21,light rain,-21.37,55.62,"""Plantation Bed and Breakfast"
256,Mahebourg,MU,78.26,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
264,Arraial Do Cabo,BR,82.36,few clouds,-22.97,-42.03,Pousada Porto Praia
265,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
271,Alta Floresta,BR,89.42,scattered clouds,-9.88,-56.09,Floresta Amazonica Hotel
273,Itapipoca,BR,84.07,overcast clouds,-3.49,-39.58,Hotel Pilotos
274,Eyl,SO,81.86,broken clouds,7.98,49.82,DAAWAD HOTEL EYL
275,Nhulunbuy,AU,77.61,overcast clouds,-12.23,136.77,East Arnhem Real Estate
278,Namibe,AO,75.83,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
279,Vao,NC,78.06,few clouds,-22.67,167.48,Hotel Kou-Bugny
280,Abha,SA,75.45,clear sky,18.22,42.51,Abha Hotel
293,Samarai,PG,77.67,overcast clouds,-10.62,150.67,Nuli Sapi
303,Isla Vista,US,78.44,clear sky,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
305,Mondovi,IT,82.36,clear sky,44.4,7.82,Park Hotel
306,Port Hedland,AU,84.25,clear sky,-20.32,118.57,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
312,Ca Mau,VN,77.22,overcast clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
322,Mogadishu,SO,85.87,few clouds,2.04,45.34,Hotel Juba
327,Marilandia,BR,87.33,broken clouds,-19.41,-40.54,Hotel Espaço Verde
328,Portobelo,PA,87.96,overcast clouds,9.55,-79.65,Scuba Portobelo
337,Bathsheba,BB,84.81,scattered clouds,13.22,-59.52,Atlantis Hotel
338,Lagunas,PE,88.03,broken clouds,-5.23,-75.68,Hospedaje Eco
343,Jepara,ID,78.48,overcast clouds,-5.17,105.7,Hotel Yestoya
345,Tura,IN,75.61,clear sky,25.52,90.22,Hotel RIKMAN Continental
346,Cockburn Town,TC,78.51,scattered clouds,21.46,-71.14,Osprey Beach Hotel
347,Sanchor,IN,88.75,clear sky,24.76,71.77,Hotel Amar Palace & AC Restaurant
350,Sola,VU,81.9,overcast clouds,-13.88,167.55,Ulkel Guest House
352,Trinidad,BO,85.98,broken clouds,-14.83,-64.9,Hotel Piesta
353,Lubango,AO,80.46,broken clouds,-14.92,13.49,Hotel Serra da Chela
356,Timbo,BR,75.58,light rain,-26.82,-49.27,Timbó Park Hotel
360,Grand Gaube,MU,78.39,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
361,Samborondon,EC,78.8,overcast clouds,-1.95,-79.73,Diamante Motel
367,Orange,US,83.28,clear sky,33.7,-117.77,Meadows
370,Bintulu,MY,77.41,scattered clouds,3.17,113.03,900 Boutique INN
377,Catuday,PH,80.02,light rain,16.29,119.81,Benjie's Kubo & Cottages
379,Taruma,BR,84.34,clear sky,-22.75,-50.58,PALAS HOTEL
385,Phan Thiet,VN,77.23,broken clouds,10.93,108.1,Hotel Saigon-PT
389,Mahajanga,MG,82.08,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
392,Tabou,CI,85.68,overcast clouds,4.42,-7.35,hotêl doufoulougou
393,Santa Isabel,BR,81.7,scattered clouds,-23.32,-46.22,Chácara Sombra do Altíssimo
396,Bengkulu,ID,75.96,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
405,Bairiki,KI,80.6,light rain,1.33,172.98,Tarawa Boutique Hotel
408,Pondicherry,IN,83.41,overcast clouds,11.93,79.83,Villa Shanti for food lovers
419,Buchanan,LR,85.39,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
420,Maceio,BR,80.04,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
422,Coahuayana,MX,80.04,few clouds,18.73,-103.68,El rranchito michuacan de ocampos
425,Honiara,SB,78.03,overcast clouds,-9.43,159.95,Heritage Park Hotel
429,Kavaratti,IN,84.61,overcast clouds,10.57,72.64,Hotels in Lakshadweep Islands
431,Morondava,MG,83.16,clear sky,-20.28,44.28,La Case Bambou
434,Muisne,EC,79.16,overcast clouds,0.6,-80.03,Quinta Samay
437,Altamira,BR,86.09,broken clouds,-3.2,-52.21,Requinte Hotel
440,Oranjestad,AW,84.15,scattered clouds,12.52,-70.03,Divi Village Golf & Beach Resort
444,Cattolica,IT,76.91,scattered clouds,43.96,12.74,Hotel Antares
447,Kudahuvadhoo,MV,83.57,broken clouds,2.67,72.89,Kudahuvadhoo Retreat
448,Ondjiva,AO,88.56,scattered clouds,-17.07,15.73,COMBUESA
449,Bataipora,BR,88.41,broken clouds,-22.3,-53.27,Hotel Vale do Ivinhema
450,Pran Buri,TH,87.98,broken clouds,12.38,99.91,Waterside Resort
451,Sokoni,TZ,84.22,clear sky,-6.43,39.55,Ujamaa Beach Resort
