City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Dunedin,NZ,-45.87,170.50,52.81,68,95,11.01,overcast clouds
83,Mozarlandia,BR,-14.74,-50.57,89.46,54,5,3.4,clear sky
84,Luderitz,NA,-26.65,15.16,72.84,49,21,16.58,few clouds
85,Qaqortoq,GL,60.72,-46.03,29.88,73,41,4.09,scattered clouds
86,Sunrise Manor,US,36.21,-115.07,72.3,17,0,5.75,clear sky
87,Vardo,NO,70.37,31.11,35.58,75,40,26.46,scattered clouds
88,Provideniya,RU,64.38,-173.30,-2.88,100,100,4.12,overcast clouds
89,Port-Cartier,CA,50.03,-66.87,35.82,94,100,20.31,overcast clouds
90,Puerto Escondido,MX,15.85,-97.07,85.23,44,8,0.74,clear sky
91,East London,ZA,-33.02,27.91,61.74,88,20,3.44,few clouds
92,Gao,ML,16.64,1.64,109.76,3,5,11.27,clear sky
93,Menongue,AO,-14.66,17.69,73.27,71,83,6.35,broken clouds
94,Kapaa,US,22.08,-159.32,73.47,83,75,17.27,broken clouds
95,Flinders,AU,-34.58,150.86,69.39,85,80,3.0,broken clouds
96,Pangnirtung,CA,66.15,-65.71,10.4,85,75,2.3,broken clouds
97,Pundaguitan,PH,6.37,126.17,82.4,78,100,7.05,overcast clouds
98,Atuona,PF,-9.80,-139.03,79.09,79,60,18.03,broken clouds
99,Foumban,CM,5.73,10.90,84.13,41,59,5.66,broken clouds
100,Sabha,LY,27.04,14.43,88.63,12,88,12.17,overcast clouds
101,Winnemucca,US,40.97,-117.74,59.77,27,75,4.07,broken clouds
102,Adrar,MR,20.50,-10.07,92.62,8,6,11.07,clear sky
103,Tiksi,RU,71.69,128.87,-7.49,100,100,2.57,overcast clouds
104,Kaitangata,NZ,-46.28,169.85,51.78,69,87,10.22,overcast clouds
105,Sal Rei,CV,16.18,-22.92,77.2,65,20,20.71,few clouds
106,Walvis Bay,NA,-22.96,14.51,70.75,56,9,6.91,clear sky
107,Kodiak,US,57.79,-152.41,26.11,59,0,6.91,clear sky
108,Norman Wells,CA,65.28,-126.83,21.24,63,20,4.61,few clouds
109,Acarau,BR,-2.89,-40.12,83.17,75,75,11.77,light rain
110,Beloha,MG,-25.17,45.05,79.2,73,49,7.29,scattered clouds
111,Mayo,US,38.89,-76.51,59.34,53,0,15.01,clear sky
112,Airai,TL,-8.93,125.41,59.2,83,94,2.8,overcast clouds
113,Muroto,JP,33.28,134.15,62.22,69,0,5.82,clear sky
114,Castro,BR,-24.79,-50.01,76.03,69,98,7.54,overcast clouds
115,Constitucion,CL,-35.33,-72.42,65.03,67,19,7.47,few clouds
116,Victoria,HK,22.29,114.16,73.33,74,0,15.01,clear sky
117,Dingle,PH,11.00,122.67,74.59,92,100,5.44,overcast clouds
118,Bulungu,CD,-4.55,18.60,81.45,72,80,5.46,light rain
119,Camacha,PT,33.08,-16.33,62.02,59,40,6.91,scattered clouds
120,Port Alfred,ZA,-33.59,26.89,59.18,90,100,12.75,overcast clouds
121,Albany,US,42.60,-73.97,49.37,81,100,1.01,overcast clouds
122,Saldanha,ZA,-33.01,17.94,80.65,45,0,14.76,clear sky
123,Susanville,US,40.42,-120.65,53.06,52,95,3.74,overcast clouds
124,Acapulco,MX,16.86,-99.89,82.4,54,42,3.22,scattered clouds
125,Nanortalik,GL,60.14,-45.24,30.13,74,16,7.0,few clouds
126,Sindou,BF,10.67,-5.17,101.93,23,79,4.85,broken clouds
127,Esperance,AU,-33.87,121.90,73.24,84,73,14.2,broken clouds
128,Faya,SA,18.39,42.45,75.72,22,0,2.1,clear sky
129,Bredasdorp,ZA,-34.53,20.04,63.05,57,57,18.95,broken clouds
130,Lasa,IT,46.62,10.70,58.08,88,95,7.36,overcast clouds
131,Cornelio Procopio,BR,-23.18,-50.65,79.84,62,2,4.18,clear sky
132,Nador,MA,35.17,-2.93,77.07,49,20,14.97,few clouds
133,Sukhumi,GE,43.00,41.02,57.69,84,54,4.45,broken clouds
134,Fomboni,KM,-12.28,43.74,83.17,70,33,9.4,scattered clouds
135,Port-Gentil,GA,-0.72,8.78,80.85,84,54,12.95,light rain
136,Muravlenko,RU,63.79,74.52,4.12,96,86,10.18,overcast clouds
137,Sur,OM,22.57,59.53,88.92,38,83,3.98,broken clouds
138,Port Hardy,CA,50.70,-127.42,42.8,93,100,5.75,light rain
139,Kemijarvi,FI,66.71,27.43,33.46,86,100,18.66,overcast clouds
140,Dennery,LC,13.90,-60.89,84.33,61,75,20.71,broken clouds
141,Ponta Do Sol,PT,32.67,-17.10,67.01,71,65,2.73,broken clouds
142,Altamont,US,42.21,-121.74,47.79,78,0,6.91,clear sky
143,Chuy,UY,-33.70,-53.46,75.51,56,1,9.91,clear sky
144,Comodoro Rivadavia,AR,-45.87,-67.50,57.06,67,0,1.14,clear sky
145,Chokurdakh,RU,70.63,147.92,-13.83,94,90,10.71,overcast clouds
146,Ancud,CL,-41.87,-73.82,58.23,66,21,0.2,few clouds
147,Kem,RU,64.96,34.58,33.39,97,100,19.84,snow
148,Golden,US,39.76,-105.22,51.62,31,0,3.0,clear sky
149,Bonfim,BR,3.08,-59.95,82.17,67,99,6.26,overcast clouds
150,Osorio,BR,-29.89,-50.27,67.93,97,100,5.79,overcast clouds
151,Tomatlan,MX,19.93,-105.25,75.72,63,70,3.83,broken clouds
152,Anadyr,RU,64.75,177.48,-8.9,70,0,4.47,clear sky
153,Iqaluit,CA,63.75,-68.51,20.93,85,100,10.36,light snow
154,Qasigiannguit,GL,68.82,-51.19,17.85,78,100,2.53,overcast clouds
155,Richards Bay,ZA,-28.78,32.04,67.3,83,61,6.22,light rain
156,Sao Filipe,CV,14.90,-24.50,76.98,63,3,10.96,clear sky
157,Taoudenni,ML,22.68,-3.98,99.7,5,0,9.08,clear sky
158,Dali,CN,25.70,100.18,56.93,81,7,4.07,clear sky
159,Neosho,US,36.87,-94.37,41.0,66,87,8.01,overcast clouds
160,Salinas,US,36.68,-121.66,64.83,68,0,0.0,clear sky
161,Vaitape,PF,-16.52,-151.75,82.31,72,100,20.29,overcast clouds
162,Alofi,NU,-19.06,-169.92,76.89,94,58,5.75,broken clouds
163,Elizabeth City,US,36.29,-76.25,62.06,70,0,0.0,clear sky
164,Orikum,AL,40.33,19.47,61.81,67,1,11.07,clear sky
165,Caravelas,BR,-17.71,-39.25,83.79,64,25,7.92,scattered clouds
166,Kerman,IR,30.28,57.08,80.46,11,0,13.8,clear sky
167,Kavieng,PG,-2.57,150.80,78.44,87,100,12.75,moderate rain
168,Griffith,US,41.53,-87.42,42.04,73,100,9.22,overcast clouds
169,Kalmunai,LK,7.42,81.82,80.38,78,69,2.86,moderate rain
170,Vyazemskiy,RU,47.54,134.75,30.49,93,77,3.33,broken clouds
171,Kupang,ID,-10.17,123.58,77.81,87,95,6.44,overcast clouds
172,Noumea,NC,-22.28,166.46,82.0,99,59,19.95,broken clouds
173,Copiapo,CL,-27.37,-70.33,60.49,20,0,5.88,clear sky
174,Mincivan,AZ,39.03,46.72,64.89,70,64,9.64,broken clouds
175,Sayyan,YE,15.17,44.32,68.14,13,0,13.8,clear sky
176,Palmer,US,42.16,-72.33,52.65,81,75,3.44,broken clouds
177,Mlawa,PL,53.11,20.38,45.05,58,96,14.72,overcast clouds
178,Fortuna,US,40.60,-124.16,50.67,94,100,9.22,overcast clouds
179,Torbay,CA,47.67,-52.73,40.75,83,75,11.5,broken clouds
180,Solnechnyy,RU,50.72,136.63,22.53,97,99,2.68,overcast clouds
181,Hoquiam,US,46.98,-123.89,46.96,91,100,16.11,overcast clouds
182,Salym,RU,60.06,71.48,22.69,92,100,6.64,overcast clouds
183,Smithers,CA,54.78,-127.17,32.32,100,100,3.44,light snow
184,Taseyevo,RU,57.22,94.90,31.48,96,100,1.34,overcast clouds
185,Ahipara,NZ,-35.17,173.17,57.2,84,10,5.14,clear sky
186,Neiafu,TO,-18.65,-173.98,81.28,83,20,6.91,few clouds
187,Yurimaguas,PE,-5.90,-76.08,78.96,94,75,0.0,broken clouds
188,Solok,ID,-0.79,100.66,73.58,85,76,1.81,broken clouds
189,Narasannapeta,IN,18.42,84.05,79.45,84,91,7.56,overcast clouds
190,Quatre Cocos,MU,-20.21,57.76,78.1,83,62,15.66,light rain
191,Sulangan,PH,11.14,123.72,77.72,78,100,7.7,overcast clouds
192,Yulara,AU,-25.24,130.99,67.84,32,3,6.91,clear sky
193,Lufilufi,WS,-13.87,-171.60,76.78,74,95,9.57,overcast clouds
194,Salalah,OM,17.02,54.09,84.29,65,0,6.91,clear sky
195,Mikhaylovka,RU,50.06,43.24,63.79,52,35,12.75,scattered clouds
196,Talnakh,RU,69.49,88.40,1.2,98,100,5.01,overcast clouds
197,Georgetown,MY,5.41,100.34,83.95,83,20,3.44,few clouds
198,Marquard,ZA,-28.66,27.43,69.22,33,19,7.9,few clouds
199,Lardos,GR,36.09,28.02,68.95,61,0,18.88,clear sky
200,Hirara,JP,24.80,125.28,70.65,68,6,18.3,clear sky
201,San Ramon De La Nueva Oran,AR,-23.13,-64.33,80.42,88,93,1.72,overcast clouds
202,Puerto Barrios,GT,15.72,-88.60,82.54,74,20,4.61,few clouds
203,Katsuura,JP,35.13,140.30,59.9,72,24,14.07,few clouds
204,Arlit,NE,18.74,7.39,108.01,3,100,3.74,overcast clouds
205,Port Lincoln,AU,-34.73,135.87,65.86,78,0,10.85,clear sky
206,Sinjar,IQ,36.32,41.88,73.4,35,100,9.66,overcast clouds
207,Cap Malheureux,MU,-19.98,57.61,78.48,86,53,5.99,broken clouds
208,Clyde River,CA,70.47,-68.59,7.03,78,100,9.22,light snow
209,Xining,CN,36.62,101.77,52.43,19,45,4.47,scattered clouds
210,Awjilah,LY,29.11,21.29,80.17,18,0,11.14,clear sky
211,Nikolskoye,RU,59.70,30.79,46.29,94,100,7.94,overcast clouds
212,Sidi Ali,DZ,36.10,0.42,64.11,46,0,13.85,clear sky
213,Visnes,NO,59.36,5.22,43.83,52,0,26.46,clear sky
214,Tefe,BR,-3.35,-64.71,77.11,100,100,8.05,thunderstorm with light rain
215,Antofagasta,CL,-23.65,-70.40,65.48,66,5,7.31,clear sky
216,Iracoubo,GF,5.48,-53.20,77.43,89,96,11.27,heavy intensity rain
217,Altagracia De Orituco,VE,9.86,-66.38,88.02,43,100,6.4,overcast clouds
218,Isangel,VU,-19.55,169.27,80.38,85,100,10.2,overcast clouds
219,Carnarvon,AU,-24.87,113.63,73.47,68,100,10.36,overcast clouds
220,Orlik,RU,52.52,99.83,30.76,93,100,2.84,overcast clouds
221,Weligama,LK,5.97,80.42,79.56,85,100,6.55,overcast clouds
222,Lompoc,US,34.64,-120.46,72.12,67,0,9.22,clear sky
223,Potosi,BO,-19.58,-65.75,52.66,71,75,9.22,broken clouds
