City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Itupiranga,BR,2022-04-07 17:54:19,-5.1347,-49.3267,89.92,57,78,2.13
68,Ucluelet,CA,2022-04-07 17:54:20,48.9329,-125.5528,54.09,68,100,1.99
69,Cayenne,GF,2022-04-07 17:54:20,4.9333,-52.3333,82.44,1,75,12.66
70,Randazzo,IT,2022-04-07 17:54:20,37.8774,14.9501,55.76,80,6,7.23
71,Comodoro Rivadavia,AR,2022-04-07 17:54:21,-45.8667,-67.5,51.66,93,100,11.5
72,Kathu,TH,2022-04-07 17:54:21,7.9178,98.3332,84.74,78,87,3.62
73,Bluff,NZ,2022-04-07 17:54:21,-46.6,168.3333,55.83,79,82,26.66
74,Novopavlovka,RU,2022-04-07 17:54:21,51.2172,109.2091,31.91,92,61,4.59
75,Ponta Do Sol,PT,2022-04-07 17:54:22,32.6667,-17.1,65.71,73,65,1.95
76,Castro,BR,2022-04-07 17:54:22,-24.7911,-50.0119,73.11,74,99,1.86
77,Tura,IN,2022-04-07 17:54:23,25.5198,90.2201,73.63,67,1,4.14
78,Carauari,BR,2022-04-07 17:54:23,-4.8828,-66.8958,84.22,77,92,1.7
79,Jalu,LY,2022-04-07 17:51:24,29.0331,21.5482,77.81,29,2,21.88
80,Touros,BR,2022-04-07 17:54:23,-5.1989,-35.4608,85.69,63,63,13.11
81,Banda Aceh,ID,2022-04-07 17:54:00,5.5577,95.3222,79.83,78,96,6.78
82,Show Low,US,2022-04-07 17:54:24,34.2542,-110.0298,60.08,9,0,13.8
83,Draguignan,FR,2022-04-07 17:54:24,43.5333,6.4667,64.22,56,14,16.11
84,Port Alfred,ZA,2022-04-07 17:54:24,-33.5906,26.891,59.18,77,31,5.99
85,Grindavik,IS,2022-04-07 17:54:25,63.8424,-22.4338,35.55,55,75,11.5
86,Leningradskiy,RU,2022-04-07 17:54:25,69.3833,178.4167,-6.0,97,100,11.16
87,Alta Floresta,BR,2022-04-07 17:54:25,-9.8756,-56.0861,91.22,58,40,3.44
88,Honningsvag,NO,2022-04-07 17:54:26,70.9821,25.9704,35.35,80,100,27.63
89,Padang,ID,2022-04-07 17:54:26,-0.9492,100.3543,78.98,68,100,3.0
90,Sao Borja,BR,2022-04-07 17:54:26,-28.6606,-56.0044,68.95,97,100,7.09
91,Beloha,MG,2022-04-07 17:54:27,-25.1667,45.05,74.93,90,44,4.61
92,Bengkulu,ID,2022-04-07 17:51:45,-3.8004,102.2655,74.14,87,88,4.25
93,Puerto Carreno,CO,2022-04-07 17:50:04,6.189,-67.4859,91.38,52,20,5.75
94,New Norfolk,AU,2022-04-07 17:51:38,-42.7826,147.0587,49.71,76,15,2.64
95,Ambilobe,MG,2022-04-07 17:52:10,-13.2,49.05,75.51,94,100,1.7
96,Teya,RU,2022-04-07 17:54:27,60.3778,92.6267,27.28,90,100,9.8
97,Kuryk,KZ,2022-04-07 17:54:28,43.2,51.65,59.47,47,100,9.19
98,Yellowknife,CA,2022-04-07 17:54:28,62.456,-114.3525,34.41,65,40,5.75
99,Korla,CN,2022-04-07 17:54:28,41.7597,86.1469,66.18,18,0,3.47
100,Avarua,CK,2022-04-07 17:50:15,-21.2078,-159.775,78.85,89,40,5.75
101,Ola,RU,2022-04-07 17:54:29,59.5833,151.2833,21.36,94,100,5.95
102,Campbell River,CA,2022-04-07 17:54:29,50.0163,-125.2446,45.93,93,100,5.75
103,Arlit,NE,2022-04-07 17:54:29,18.7369,7.3853,95.18,4,49,5.77
104,Kaeo,NZ,2022-04-07 17:54:30,-35.1,173.7833,61.56,80,61,7.14
105,Oksfjord,NO,2022-04-07 17:54:30,70.2396,22.3479,33.98,93,100,5.64
106,Hithadhoo,MV,2022-04-07 17:50:52,-0.6,73.0833,82.62,63,9,2.59
107,Winslow,US,2022-04-07 17:54:30,35.0242,-110.6974,62.96,10,0,3.44
108,Haines Junction,CA,2022-04-07 17:54:31,60.7522,-137.5108,28.35,59,100,1.14
109,Kodiak,US,2022-04-07 17:54:31,57.79,-152.4072,35.6,74,100,4.59
110,Khatanga,RU,2022-04-07 17:54:31,71.9667,102.5,3.47,92,97,13.24
111,Qaanaaq,GL,2022-04-07 17:54:32,77.484,-69.3632,-0.22,82,28,5.12
112,Aleppo,SY,2022-04-07 17:54:32,36.25,37.5,61.23,70,85,9.84
113,Lima,PE,2022-04-07 17:53:21,-12.0432,-77.0282,68.25,73,20,11.5
114,Port Elizabeth,ZA,2022-04-07 17:51:32,-33.918,25.5701,59.31,75,0,13.8
115,Te Kauwhata,NZ,2022-04-07 17:54:33,-37.4,175.15,40.14,91,7,1.81
116,Fortuna,US,2022-04-07 17:52:03,40.5982,-124.1573,71.92,63,0,4.61
117,Honiara,SB,2022-04-07 17:54:33,-9.4333,159.95,77.47,86,100,4.5
118,Saint-Pierre,RE,2022-04-07 17:52:34,-21.3393,55.4781,76.68,82,0,8.05
119,Antofagasta,CL,2022-04-07 17:52:16,-23.65,-70.4,67.28,65,10,6.67
120,Talnakh,RU,2022-04-07 17:52:35,69.4865,88.3972,11.08,99,100,4.76
121,Laives,IT,2022-04-07 17:54:34,46.4228,11.3348,57.09,84,91,2.98
122,Severo-Kurilsk,RU,2022-04-07 17:52:26,50.6789,156.125,27.66,83,100,6.91
123,Isangel,VU,2022-04-07 17:54:35,-19.55,169.2667,79.9,76,100,13.04
124,Karratha,AU,2022-04-07 17:54:35,-20.7377,116.8463,85.44,56,61,10.4
125,Ilulissat,GL,2022-04-07 17:54:36,69.2167,-51.1,15.57,80,67,4.45
126,Ulaangom,MN,2022-04-07 17:53:49,49.9811,92.0667,30.97,89,44,0.58
127,Dali,CN,2022-04-07 17:54:36,25.7,100.1833,56.41,70,99,2.37
128,Dikson,RU,2022-04-07 17:54:37,73.5069,80.5464,3.85,97,100,9.82
129,Jurm,AF,2022-04-07 17:54:37,36.8648,70.8342,61.79,50,98,3.67
